0,0,0,0,0,0,0,0,0,8,551,1764,1259,253,4470,4919,1905,1038,14,606,56,782,1132,918
39,0,27,0,0,0,0,0,6,73,2850,4854,24,118,19,510,510,96,4100,1756,477,147,214,1286
54,53,0,0,0,0,0,53,212,2832,43,220,181,12,44,205,152,226,516,559,1104,252,0,3305
33,20,60,0,7,0,4,11,470,1967,729,659,1787,333,980,371,605,623,467,282,3319,1558,786,313
0,0,4,0,0,0,0,70,490,1513,224,874,1451,329,61,456,775,1446,2407,103,447,2120,273,455
263,23,7,0,0,0,0,6,210,1530,124,1803,113,1124,1160,409,631,203,396,2165,147,2016,521,1176
389,112,0,0,0,4,19,0,172,1952,279,207,145,242,3160,852,270,24,444,4093,1445,332,13,390
138,0,0,10,0,0,0,53,538,3454,2106,1307,909,303,150,123,127,198,50,533,433,75,850,4067
115,0,0,0,0,0,0,0,0,1109,5000,1117,312,343,578,876,1373,1841,638,718,421,78,57,552
97,0,0,11,0,0,0,55,1114,1113,308,467,1884,184,298,497,355,588,1564,396,99,172,371,447
0,0,0,0,0,0,0,0,34,1732,497,296,322,657,1657,455,278,953,1123,1479,366,349,4587,351
14,50,29,0,0,0,0,82,534,1623,504,414,411,1226,2674,236,383,411,325,2937,1086,61,119,413
311,0,7,8,0,8,0,29,553,2041,90,63,1180,770,1320,504,210,526,66,75,3858,1090,185,294
42,126,5,7,0,0,0,40,565,1545,309,1226,78,187,419,0,427,435,238,135,2590,2390,151,89
16,179,0,19,0,0,0,0,0,69,394,145,152,393,759,828,5564,3053,3785,323,207,252,785,686
57,121,0,0,0,0,9,8,0,393,5033,321,100,684,652,255,99,214,540,2887,372,461,367,163
152,16,0,0,0,0,0,0,91,1801,209,242,198,3422,1116,281,228,135,252,3298,872,81,196,641
0,242,15,0,0,6,21,53,185,1580,446,869,147,1158,243,413,348,288,535,198,3559,1034,0,701
0,0,0,0,0,0,0,0,15,1379,233,475,1979,26,443,209,67,35,2696,1299,996,570,38,510
