Total steps,Calories,Min Light Active,Min Fair Active,Min Very Active
1675,1313,84,0,0
4506,1498,144,4,7
9218,1541,221,0,0
1556,1327,88,0,0
2910,1452,157,0,0
18464,1574,270,0,0
1335,1308,74,0,0
1004,1276,55,0,0
1111,1278,54,0,0
6344,1409,143,0,0
3572,1370,122,0,0
3910,1555,186,7,7
10000,1469,172,0,0
6627,706,89,0,0
8163,1432,146,0,0
7007,1411,148,0,0
9107,1572,236,0,0
1510,1344,96,0,0
5370,1463,176,0,0
6175,1554,127,22,15
10536,1604,202,7,17
2916,1435,141,0,0
4974,1446,151,0,0
6349,1467,186,0,0
4026,1470,199,0,0
8538,1562,227,0,0
6076,1617,185,18,16
6497,1492,202,0,0
2826,1402,140,0,0
8367,1670,154,36,17
2759,1401,115,5,0
2390,1404,150,0,0
6474,1655,224,23,11
36019,2690,171,63,186
7155,1497,166,6,7
2100,1334,96,0,0
2193,1368,118,0,0
2470,1370,117,0,0
1727,1341,102,0,0
2104,1474,182,0,0
3427,1427,152,0,0
1732,1328,91,0,0
2969,1393,139,0,0
3134,1359,112,0,0
4636,3323,586,16,0
20237,4029,347,141,34
12912,3436,283,16,59
2819,2444,87,4,4
9921,3098,219,35,5
8046,2925,137,41,18
11166,3202,230,58,3
7842,2928,161,43,7
13840,3290,192,81,18
10694,3199,256,51,2
8001,2902,135,16,30
11037,3226,252,58,5
5263,2750,170,4,3
15300,3493,212,42,51
8757,3011,186,13,29
7132,2806,121,33,15
11256,3300,278,58,5
2436,2430,125,0,0
1223,2140,38,0,0
3673,2344,86,0,0
6637,2677,160,15,0
3321,2413,89,0,0
3580,2497,94,1,8
9919,3123,223,41,11
3032,2489,118,0,0
9405,3108,227,53,3
3176,2498,120,0,0
18213,3846,402,71,9
6132,2696,146,24,3
3758,2580,148,7,1
12850,3324,221,94,10
2309,2222,52,0,0
4363,2463,81,12,6
9787,3328,369,6,11
13372,3404,243,17,41
6724,2987,295,0,0
6643,3008,303,6,32
6847,1969,251,9,9
5367,1889,263,0,0
2841,1636,136,0,0
0,1347,0,0,0
0,1347,0,0,0
7,1349,1,0,0
6344,1965,290,0,0
5316,1824,221,0,0
4979,1807,184,0,0
6556,1971,305,0,0
5430,1888,251,0,0
0,399,0,0,0
6697,2030,339,0,0
4929,1860,248,0,0
7937,2130,373,0,0
3844,1725,176,0,0
3414,1657,147,0,0
4525,1793,199,8,2
4597,1814,217,12,0
197,1366,10,0,0
8,1349,1,0,0
8054,2062,308,13,2
5372,1827,220,0,0
3570,1645,139,0,0
0,1347,0,0,0
0,1347,0,0,0
0,1347,0,0,0
4,1348,1,0,0
6907,1992,302,0,0
4920,1856,247,0,0
4014,1763,184,0,0
2573,1541,75,7,0
0,1348,0,0,0
4059,1742,184,0,0
2080,1549,87,0,0
2237,1589,120,0,0
44,1351,2,0,0
0,1347,0,0,0
0,1347,0,0,0
0,1347,0,0,0
0,1347,0,0,0
4317,2590,192,11,0
5662,2783,267,0,0
3198,2449,146,0,0
2352,2380,128,0,0
2234,2344,108,0,0
1259,2202,73,0,0
768,2130,43,0,0
519,2088,34,0,0
2523,2443,134,9,0
2105,2442,139,0,0
1209,2255,73,0,0
24,942,3,0,0
678,2220,55,0,0
356,2151,32,0,0
2163,2383,88,9,0
980,2221,51,0,0
0,2064,0,0,0
0,2063,0,0,0
244,2111,17,0,0
0,2063,0,0,0
0,2063,0,0,0
0,2064,0,0,0
149,2093,10,0,0
2945,2499,145,0,0
2090,2324,75,6,1
152,2100,12,0,0
3761,2638,192,0,0
0,2063,0,0,0
1675,2351,95,0,0
0,2063,0,0,0
0,2064,0,0,0
2704,2411,70,1,14
3790,2505,94,8,16
1326,2195,17,0,10
1786,2338,87,0,0
0,2063,0,0,0
2091,2383,108,0,0
1510,2229,48,0,0
0,2063,0,0,0
0,2063,0,0,0
0,2063,0,0,0
13603,2645,213,16,72
5477,2040,237,0,0
11144,2395,279,22,25
15313,2581,233,19,62
10805,2735,298,37,36
15392,2733,258,42,47
18247,3021,252,62,72
13023,2577,296,12,40
16267,2811,302,16,44
10005,2458,339,23,1
10106,2568,272,16,41
6717,1140,67,5,41
11875,2390,227,14,42
12024,2601,292,5,43
10690,2312,257,3,32
11034,2525,282,9,27
10100,2177,151,11,41
15112,2782,331,29,28
14131,2770,311,3,48
11548,2489,250,7,31
15112,2897,276,63,48
12453,3158,255,53,104
12954,2638,273,10,52
6001,2069,249,0,0
13481,2529,216,26,37
11369,2470,217,8,44
10119,2793,275,24,55
10159,2463,282,20,19
10140,2296,291,20,6
10245,2611,281,40,21
18387,2732,361,23,13
10538,2380,245,28,25
10379,2473,277,8,36
12183,2752,250,14,72
11768,2649,272,27,36
11895,2609,253,20,55
10227,2498,295,17,24
6708,1995,149,2,20
3292,1848,135,0,0
13379,2709,297,47,35
12798,2797,271,28,57
13272,2544,224,25,58
2605,1407,166,0,0
1229,1237,69,0,0
2308,1330,115,0,0
6679,1583,263,0,0
5645,1538,248,0,0
3180,1421,185,0,0
2767,1392,170,0,0
3762,1425,173,0,0
3098,1413,185,0,0
5142,1515,230,0,0
3279,1405,164,0,0
1019,600,64,0,0
4414,1459,181,8,3
4993,1521,238,0,0
3335,1431,197,0,0
3821,1444,188,0,0
2547,1373,150,0,0
838,1214,60,0,0
3325,1419,182,0,0
2424,1356,141,0,0
7222,1667,327,0,0
2467,1370,153,0,0
2915,1399,162,0,0
12357,1916,432,0,0
3490,1401,164,0,0
6017,1576,260,0,0
5933,1595,288,0,0
6088,1593,286,0,0
6375,1649,331,0,0
7604,1692,352,0,0
4729,1506,233,0,0
3609,1447,191,0,0
7018,1690,355,0,0
5992,1604,304,0,0
6564,1658,345,0,0
12167,1926,475,0,0
8198,1736,383,0,0
4193,1491,229,0,0
5528,1555,258,0,0
10685,1869,401,0,0
254,1141,17,0,0
8580,1698,330,0,0
0,1324,0,0,0
0,1324,0,0,0
0,1324,0,0,0
0,1324,0,0,0
4931,1708,175,0,0
6999,1950,320,0,0
1846,1508,93,0,0
3417,1625,153,0,0
4863,1772,208,11,1
2277,1530,103,0,0
11230,2206,390,2,10
2098,790,69,0,0
10725,2124,306,9,13
7275,2003,335,0,0
3973,1696,191,0,0
5205,1801,245,0,0
5057,1724,195,0,0
6198,1852,249,0,0
6559,1905,260,7,0
5997,1811,228,11,0
7192,1922,283,11,0
3404,1610,127,10,1
5583,1851,266,0,0
5079,1804,242,0,0
4165,1725,204,0,0
3588,1654,152,5,3
3409,1632,147,0,0
1715,1481,82,0,0
1532,1473,76,0,0
924,1410,45,0,0
4571,1779,234,0,0
772,1403,40,0,0
3634,1613,123,6,5
7443,1878,206,10,20
1201,1426,52,0,0
5202,1780,223,11,0
4878,1742,204,0,0
7379,1972,319,0,0
5161,1821,247,0,0
3090,1630,145,0,0
6227,1899,290,0,0
6424,1903,300,0,0
10272,2041,208,58,2
10533,2187,255,35,21
