Total steps,Calories,Min Light Active,Min Fair Active,Min Very Active
0,1841,0,0,0
703,1993,15,13,2
0,1841,0,0,0
2503,2280,84,9,3
2487,2319,50,34,9
4697,2496,75,35,12
15491,2244,272,77,18
14097,2188,234,32,50
10467,2014,252,45,9
12437,2115,219,24,50
12307,2055,218,51,14
18952,2437,327,20,73
12010,2158,287,17,38
12480,2170,276,14,55
13417,2244,284,16,45
14400,2188,276,37,27
12495,2231,324,19,33
10148,2100,306,7,19
12362,2188,297,38,21
5893,917,48,9,43
10199,1994,189,14,50
5652,1718,142,24,8
1551,1466,86,0,0
5563,1756,217,0,0
13217,2173,280,3,50
10145,2027,295,13,5
11404,2039,238,42,13
10742,2046,195,41,35
13928,2174,297,4,48
11835,2179,214,27,53
10725,2086,240,33,30
20031,2571,347,41,58
5029,1705,199,0,0
13239,2194,282,31,35
10433,2012,254,7,36
10320,2034,279,38,7
12627,2182,288,8,38
10762,2254,369,15,12
10081,2002,237,16,32
5454,1740,215,0,0
12912,2162,313,39,18
12109,2072,267,36,21
10147,2086,284,36,15
10524,2066,305,22,14
5908,1850,299,0,0
6815,1947,328,0,0
4188,1659,151,14,0
15448,2361,275,34,62
6722,1855,199,7,24
3587,928,105,8,0
11680,2573,244,7,50
10976,2575,271,16,9
16806,3086,230,31,104
15266,2886,292,21,70
12084,2676,284,6,50
13513,2811,270,8,64
14100,2840,265,33,61
12627,2871,301,22,54
10345,2613,358,6,2
10146,2700,397,12,1
12168,2871,375,27,18
7413,1023,43,6,53
14172,2937,355,8,53
12862,2742,261,22,56
11179,2668,304,6,34
5273,2098,202,0,0
4631,2076,203,0,0
8059,2383,305,0,0
14816,2832,284,31,48
14194,2812,304,17,53
15566,3096,347,33,60
13744,2763,327,34,30
15299,2889,261,50,64
8093,2284,223,25,2
11085,2667,419,0,0
18229,3055,379,24,51
15090,2939,424,22,16
13541,2830,337,12,50
15128,2836,401,16,16
20067,3180,382,42,55
3761,2051,200,0,0
5600,2225,237,0,0
13041,2642,250,14,64
14510,2976,330,31,58
15010,2933,317,23,53
11463,2496,154,30,38
87,1641,2,0,0
1949,1794,27,6,3
6101,2421,138,24,31
7478,2439,132,33,25
7352,2233,124,14,19
14604,2862,127,30,76
9634,2752,140,48,50
7338,2519,204,5,27
569,1799,27,0,0
6242,2543,126,22,46
430,625,14,0,0
11317,2772,153,6,59
5813,2516,155,26,31
9123,2734,189,32,35
8585,2395,139,21,30
31,1635,3,0,0
0,1629,0,0,0
9827,2743,114,51,61
10688,2944,124,69,67
14365,2997,145,13,87
9469,2463,206,6,19
9753,2846,153,59,58
2817,1965,90,0,0
3520,2049,125,0,0
10091,2752,129,39,69
10387,2781,132,33,70
11107,2693,145,6,55
11584,2862,161,48,54
7881,2616,182,36,24
14560,2995,308,17,42
12390,2730,258,15,30
10052,2754,139,26,66
10288,2754,152,36,57
10988,2655,135,12,45
8564,2386,149,14,24
12461,2924,154,35,84
12827,2739,209,42,20
10677,2534,147,27,32
13566,2960,171,50,67
14433,2800,106,23,72
3789,1199,58,4,5
20188,3377,172,19,124
25701,3697,97,36,165
17395,3209,213,4,100
17167,3167,184,8,98
16435,3122,191,14,100
17078,3176,190,6,101
11693,2790,153,6,60
11159,2715,120,6,59
10118,2684,207,18,30
16064,3097,155,8,96
290,791,16,0,0
18060,3186,123,8,116
16433,3140,156,12,95
20159,3411,193,5,119
20669,3410,158,8,132
14549,2867,83,6,96
18827,3213,195,21,111
17076,3133,195,6,102
15929,3114,191,7,90
15108,3043,158,5,89
16057,3103,170,6,100
10520,2655,117,3,60
22359,3554,223,14,125
22988,3577,182,33,129
20500,3403,209,9,118
12685,2846,185,5,68
12422,2852,183,10,60
15447,3062,153,9,90
12315,2794,159,8,58
7135,2408,131,1,27
1170,1886,51,0,0
1969,1988,95,0,0
15484,3023,165,22,87
14581,2918,123,8,89
14990,2950,130,9,93
13953,2859,90,15,90
19769,3331,148,20,121
22026,3589,228,14,125
12465,2765,148,12,66
14810,2926,115,10,96
12209,2809,184,7,60
4998,1505,39,4,28
0,1429,0,0,0
0,1429,0,0,0
0,1429,0,0,0
0,1429,0,0,0
0,1429,0,0,0
1931,1607,94,0,0
5181,1776,107,15,15
12026,2162,150,13,47
5360,1832,148,28,8
2545,1657,126,0,0
1636,1377,86,0,0
0,0,0,0,0
9033,2044,154,2,40
8053,1935,96,11,35
5234,1705,33,16,29
2672,1632,105,0,0
9256,1880,115,51,6
10204,2112,157,5,41
5151,1829,130,16,16
4212,1763,164,0,0
6466,1931,216,18,5
11268,2218,172,20,49
2824,1651,120,0,0
9282,2132,191,26,30
8905,1976,82,4,41
6829,1909,118,54,7
4562,1813,108,14,19
10232,2008,104,5,45
2718,1580,20,16,11
6260,1854,136,14,16
0,0,0,0,0
14179,3669,195,21,73
3358,2702,144,0,0
9152,3304,243,13,25
13935,4234,220,16,105
12846,4128,189,15,113
9124,3798,230,6,55
9725,3839,181,11,83
8350,3713,167,10,72
2240,2606,110,0,0
2631,2624,117,0,0
8837,3775,182,17,74
3246,1882,49,15,65
7626,3635,156,15,65
12386,4079,169,14,116
13318,4163,174,21,123
14461,3666,190,23,60
11207,3363,142,21,64
2132,2572,93,0,0
13630,4157,174,10,117
13070,4092,154,19,120
9388,3787,169,8,82
15148,4236,145,16,137
12200,4044,159,12,113
5709,2908,136,10,19
3703,2741,135,0,0
12405,4005,141,16,117
16208,3763,161,18,90
7359,3061,192,4,4
5417,2884,139,10,11
6175,2982,172,7,3
2946,2660,121,0,0
11419,3369,127,10,71
6064,3491,142,4,63
8712,3784,195,20,71
7875,3110,167,10,19
8567,3783,214,3,66
7045,3644,166,5,74
4468,2799,158,0,0
2943,2685,139,0,0
8382,3721,171,13,71
6582,3586,152,13,63
9143,3788,184,10,72
4561,1976,102,6,8
2174,2360,112,0,0
3494,2517,166,0,0
2380,2400,131,0,0
3159,2462,147,0,0
6835,2786,212,15,5
2098,2354,112,0,0
2816,2437,138,0,0
1408,1814,79,0,0
5014,2650,196,7,0
5571,2654,163,23,2
3135,2443,134,0,0
3430,2505,65,0,0
5319,2693,0,0,0
3008,2439,0,0,0
3864,2536,105,22,4
5697,2668,166,10,7
5273,2647,167,27,0
8538,2883,158,18,35
8687,2944,212,54,4
9423,3012,238,44,7
8286,2889,206,44,2
4503,2547,122,6,18
10499,3093,214,91,1
12474,3142,129,5,77
6174,2757,203,28,0
15168,3513,258,67,46
10085,3164,317,28,2
4512,2596,117,2,10
8469,2894,0,0,0
12015,3212,0,0,0
3588,2516,0,0,0
12427,3266,70,0,0
5843,2683,166,22,2
6117,2810,250,0,0
9217,2940,182,72,3
9877,2947,110,4,66
8240,2846,162,43,9
8701,2804,177,71,5
0,0,0,0,0
4592,2260,176,8,4
8452,3004,328,24,9
7238,2667,279,6,2
3821,2229,161,9,0
2332,2100,111,10,1
2121,2114,122,0,0
1291,1961,77,0,0
1467,1953,71,8,2
1022,1890,63,0,0
4605,2253,179,0,0
178,1725,12,0,0
20,728,6,0,0
2564,2044,116,0,0
1320,1934,82,0,0
1219,1963,84,0,0
2483,2009,126,0,0
244,1721,12,0,0
0,1688,0,0,0
0,1688,0,0,0
0,1688,0,0,0
3147,2188,139,10,0
144,1720,9,0,0
4068,2419,195,20,1
5245,2748,232,45,8
400,1799,19,8,3
0,1688,0,0,0
1321,1928,80,0,0
1758,2067,112,0,0
6157,2780,310,0,0
18700,3527,247,3,67
27572,4220,260,24,116
15260,3864,259,17,106
20779,3662,208,16,78
10695,2834,246,3,10
24136,4039,318,16,87
10910,2947,212,11,32
23014,4196,359,29,70
16470,3841,289,9,90
28497,4526,211,46,128
10622,2820,225,7,18
2350,938,58,0,0
23186,3921,312,7,85
15337,3566,216,18,108
21129,3793,298,13,68
13422,3934,281,1,106
29326,4547,429,29,94
15118,3545,307,15,58
11423,2761,191,5,29
18785,3676,214,13,82
19948,3679,225,19,73
19377,3659,226,13,82
18258,3427,236,2,61
11200,3891,300,6,102
16674,3455,227,1,64
12986,3802,218,8,113
11101,2860,258,3,22
23629,3808,235,8,93
14890,3060,231,8,58
9733,2698,210,5,18
27745,4398,223,4,124
10930,2786,166,12,36
4790,2189,105,0,0
10818,2817,229,3,19
18193,3477,212,8,66
14055,3052,188,15,67
